date,category,n_requests,TMAX,TMIN,PRCP,SNOW,weekday,is_weekend
2025-01-01,BUILDING,873,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,FLOODING,40,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,HEAT,951,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,NOISE,5539,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,OTHER,483,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,PARKING,1987,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,SANITATION,278,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,SOCIAL,248,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-01,STREET,474,10.6,3.9,0.0,0.0,Wednesday,False
2025-01-02,BUILDING,2021,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,FLOODING,69,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,HEAT,1709,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,NOISE,5480,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,OTHER,547,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,PARKING,2300,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,SANITATION,494,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,SNOW_ICE,2,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,SOCIAL,293,6.1,0.6,0.0,0.0,Thursday,False
2025-01-02,STREET,896,6.1,0.6,0.0,0.0,Thursday,False
2025-01-03,BUILDING,2000,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,FLOODING,67,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,HEAT,1645,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,NOISE,3542,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,OTHER,529,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,PARKING,2359,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,SANITATION,503,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,SNOW_ICE,5,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,SOCIAL,314,3.9,-0.5,0.0,0.0,Friday,False
2025-01-03,STREET,720,3.9,-0.5,0.0,0.0,Friday,False
2025-01-04,BUILDING,1304,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,FLOODING,34,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,HEAT,2349,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,NOISE,4331,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,OTHER,401,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,PARKING,1966,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,SANITATION,335,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,SNOW_ICE,10,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,SOCIAL,298,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-04,STREET,431,0.6,-2.1,0.0,0.0,Saturday,True
2025-01-05,BUILDING,1140,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,FLOODING,37,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,HEAT,2217,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,NOISE,6647,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,OTHER,323,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,PARKING,2105,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,SANITATION,396,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,SNOW_ICE,12,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,SOCIAL,268,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-05,STREET,429,0.6,-2.1,0.0,0.0,Sunday,True
2025-01-06,BUILDING,2353,-1.0,-5.5,2.0,23.0,Monday,False
2025-01-06,FLOODING,63,-1.0,-5.5,2.0,23.0,Monday,False
